SYMBOL,basal.pregnant,basal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA CPM,MCL1.LB CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.LE CPM,MCL1.LF CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM
Creb5,0,2.61014498513591,0.000550952187720824,4.27545223034439,6.68951109120542e-7,1114,1119,450,534,41,33,756,612,272,337,1579,1555,54.629,51.547,20.232,24.286,1.658,1.338,32.547,28.102,11.286,14.868,73.342,77.690
Cd300lf,0,-2.08916603587191,0.000552810456311035,-5.09659401121117,7.32226219772517e-7,0,0,0,0,0,0,0,0,2,2,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.088,0.000,0.000
Ambp,0,-2.08916603587191,0.000552810456311035,-5.09659401121117,7.32226219772517e-7,0,0,0,0,0,0,0,0,2,2,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.088,0.000,0.000
Gm10369,0,-2.08916603587191,0.000552810456311035,-5.09659401121117,7.32226219772517e-7,0,0,0,0,0,0,0,0,2,2,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.088,0.000,0.000
Zfp46,0,1.061133245443,0.00057343498459901,6.19420278058314,7.97834505973945e-7,1737,1845,1408,1233,434,352,1936,1802,2566,2456,4664,4261,85.180,84.991,63.305,56.075,17.554,14.276,83.349,82.744,106.470,108.359,216.635,212.886
Rplp1,0,-1.05529540368964,0.00057343498459901,8.77346919309085,8.01741396473836e-7,19927,21554,17508,15752,5847,5753,10972,11051,11086,8813,4261,3850,977.192,992.899,787.173,716.383,236.493,233.318,472.368,507.441,459.985,388.831,197.916,192.352
Ecrg4,0,-2.79541313093056,0.00057374106271175,3.03604220289148,8.44388774733066e-7,42,35,23,12,0,2,3414,4153,11991,9261,1445,1155,2.060,1.612,1.034,0.546,0.000,0.081,146.980,190.698,497.536,408.597,67.118,57.706
2810404M03Rik,0,-2.33368576692874,0.00062635930736291,-5.05614177561365,0.00000102222074801516,0,0,0,0,0,0,0,0,3,2,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.124,0.088,0.000,0.000
Pdzd3,0,3.32553873125303,0.00062635930736291,-0.0606703517378275,0.0000010370568759458,9,11,3,5,3,3,54,28,42,42,340,385,0.441,0.507,0.135,0.227,0.121,0.122,2.325,1.286,1.743,1.853,15.792,19.235
Gfra1,0,-2.246148158342,0.000634998284461587,0.0122294476380334,0.00000109808747083022,1,3,1,1,2,4,619,566,339,317,63,54,0.049,0.138,0.045,0.045,0.081,0.162,26.649,25.990,14.066,13.986,2.926,2.698
Hck,0,-2.82443167028059,0.000634998284461587,-0.543381699246905,0.00000108727796934061,55,68,148,130,28,26,3,2,12,12,1,1,2.697,3.132,6.654,5.912,1.133,1.054,0.129,0.092,0.498,0.529,0.046,0.050
Fam43b,0,-2.21947281106979,0.00065987256033113,-1.29315538353927,0.00000118965949653134,1,1,0,0,0,0,178,206,215,204,42,34,0.049,0.046,0.000,0.000,0.000,0.000,7.663,9.459,8.921,9.001,1.951,1.699
Cfap74,0,-2.574517426621,0.00065987256033113,-4.44315914671752,0.00000118484473399604,0,0,0,0,0,0,6,4,3,3,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.184,0.124,0.132,0.000,0.000
Alkbh1,0,-1.43253746667502,0.000709306305733908,3.94595287845763,0.00000130487932913998,509,500,358,320,179,213,488,471,639,517,194,169,24.961,23.033,16.096,14.553,7.240,8.638,21.009,21.627,26.514,22.810,9.011,8.444
Ldlr,0,1.25432688047763,0.000723116367999575,7.48394522036081,0.00000135689078950581,2516,2891,2445,2171,3675,4066,3093,2621,5496,5403,12117,10098,123.381,133.176,109.929,98.735,148.642,164.901,133.160,120.351,228.043,238.381,562.814,504.512
Spag16,0,1.81713386747828,0.000747438657485822,-5.21942161023888,0.00000205788718537925,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.050
NA,0,1.81713386747828,0.000747438657485822,-5.21942161023888,0.00000205788718537925,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.050
Trpm8,0,1.81713386747828,0.000747438657485822,-5.21942161023888,0.00000205788718537925,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.050
9630028B13Rik,0,1.81713386747827,0.000747438657485822,-4.95526119345202,0.00000208962167861934,0,0,0,0,0,0,1,1,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.046,0.000,0.000,0.046,0.050
Ddit4,0,-2.16798566960469,0.000747438657485822,6.86431380917647,0.00000175259458343282,4914,4287,1059,1052,1182,1368,6285,7015,6753,5981,1089,1332,240.976,197.483,47.613,47.844,47.808,55.481,270.583,322.116,280.199,263.883,50.582,66.549
Rph3al,0,1.36519174563801,0.000747438657485822,2.75489785546017,0.00000162116301415086,120,130,114,102,423,438,204,202,66,68,160,135,5.885,5.989,5.126,4.639,17.109,17.764,8.783,9.275,2.739,3.000,7.432,6.745
Mapt,0,1.16265058646845,0.000747438657485822,2.06683752049879,0.00000221233705088388,12,20,21,15,5,8,457,421,622,652,1205,1219,0.588,0.921,0.944,0.682,0.202,0.324,19.675,19.332,25.808,28.766,55.970,60.903
Cyp46a1,0,-1.40018431055581,0.000747438657485822,1.49157898724581,0.00000222754815321946,21,21,52,58,20,17,159,161,242,218,69,79,1.030,0.967,2.338,2.638,0.809,0.689,6.845,7.393,10.041,9.618,3.205,3.947
Gsdmcl1,0,1.81713386747828,0.000747438657485822,-5.21942161023888,0.00000205788718537925,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.050
Ccdc116,0,1.32277191141258,0.000747438657485822,0.949476924231395,0.000001547656796716,26,35,27,25,17,18,80,74,51,52,109,111,1.275,1.612,1.214,1.137,0.688,0.730,3.444,3.398,2.116,2.294,5.063,5.546
Cdc42bpg,0,1.1871079047114,0.000747438657485822,6.945950311619,0.00000186416859858881,1927,2258,2092,2052,1926,1922,3646,3330,2732,2868,5223,5631,94.497,104.016,94.058,93.323,77.901,77.949,156.968,152.907,113.357,126.537,242.599,281.334
Ak1,0,-2.75123435459837,0.000747438657485822,4.30299732226116,0.00000211850220619781,593,619,56,70,9,8,8141,7479,4425,4953,771,451,29.080,28.515,2.518,3.184,0.364,0.324,350.488,343.422,183.604,218.527,35.812,22.533
Fpgs,0,-1.41012682042057,0.000747438657485822,5.14334221808945,0.0000018145144629574,965,1040,703,636,535,573,1104,1112,1348,1375,490,386,47.322,47.908,31.607,28.925,21.639,23.239,47.530,51.061,55.932,60.665,22.760,19.285
Fam110a,0,-1.46191289660765,0.000747438657485822,6.84038339033999,0.00000192708932770129,3397,3950,5067,5553,2324,2627,2020,1945,3288,2932,947,972,166.584,181.959,227.816,252.544,93.998,106.540,86.965,89.311,136.427,129.360,43.987,48.563
Skil,0,-1.87465457498605,0.000747438657485822,8.49844777702592,0.0000015691961850816,17101,16082,7955,8472,3113,2473,22665,19404,13328,11439,3110,2641,838.609,740.828,357.663,385.297,125.911,100.295,975.777,890.995,553.011,504.691,144.454,131.948
Fam102b,0,1.53336757047197,0.000747438657485822,4.18765317659855,0.0000019575521575563,566,689,225,275,55,56,620,631,655,519,1450,1430,27.756,31.739,10.116,12.507,2.225,2.271,26.692,28.974,27.178,22.898,67.350,71.445
Laptm5,0,-2.5966714665301,0.000747438657485822,-0.945197092218841,0.00000179456656786512,13,12,6,5,9,8,15,18,39,37,6,4,0.638,0.553,0.270,0.227,0.364,0.324,0.646,0.827,1.618,1.632,0.279,0.200
1700019G24Rik,0,1.81713386747828,0.000747438657485822,-5.21942161023888,0.00000205788718537925,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.050
Gm9271,0,1.81713386747828,0.000747438657485822,-5.21942161023888,0.00000205788718537925,0,0,0,0,0,0,0,0,0,0,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.050
Nob1,0,-1.23816732356736,0.000747438657485822,4.93653505293472,0.0000019164002331229,1062,1029,852,762,255,243,1106,1081,1274,975,408,397,52.079,47.402,38.307,34.655,10.314,9.855,47.616,49.637,52.861,43.017,18.951,19.835
St3gal2,0,1.06658423440476,0.000747438657485822,2.4210114181003,0.00000220179583277687,28,31,16,15,13,9,671,548,694,726,1285,1243,1.373,1.428,0.719,0.682,0.526,0.365,28.888,25.163,28.796,32.031,59.686,62.102
Ifi30,0,-1.14998733644733,0.000762502071897996,6.96785939803625,0.00000230049559938319,3161,3075,2953,3055,2395,2359,1982,2076,5793,4801,2069,1979,155.011,141.652,132.769,138.938,96.870,95.671,85.329,95.326,240.366,211.821,96.101,98.874
4931429P17Rik,0,-1.64155995518437,0.000788472632394465,-3.87889816164668,0.00000243687041911531,0,0,0,0,0,0,12,11,5,5,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.517,0.505,0.207,0.221,0.046,0.050
Hmcn1,0,1.58095450250174,0.000789281714363354,3.10254861971971,0.00000246841111596766,27,45,7,5,9,13,3399,3888,1434,1474,3881,3527,1.324,2.073,0.315,0.227,0.364,0.527,146.334,178.530,59.500,65.033,180.266,176.214
Rnf149,0,-1.00345636127049,0.00081191107465204,6.34943873219135,0.00000287819577195346,1698,1855,2553,2371,1947,1942,2943,3143,2005,1673,815,742,83.267,85.452,114.785,107.830,78.750,78.760,126.702,144.321,83.192,73.813,37.855,37.071
Gtpbp4,0,-1.02588281935747,0.00081191107465204,6.06057951869514,0.00000275954270042069,2168,2179,2028,1829,549,606,2095,2082,2522,2080,1038,883,106.316,100.377,91.180,83.181,22.205,24.577,90.194,95.602,104.644,91.770,48.213,44.116
Smad7,0,-1.95934934373397,0.00081191107465204,6.71704172673209,0.00000269992382667571,4202,4561,2368,2764,199,172,7412,8390,7211,6571,1687,1344,206.060,210.105,106.467,125.704,8.049,6.976,319.103,385.253,299.202,289.914,78.358,67.148
Susd1,0,-5.12764956232941,0.00081191107465204,0.304844250010538,0.00000283002168188912,108,103,289,266,115,115,14,11,30,13,0,0,5.296,4.745,12.994,12.097,4.651,4.664,0.603,0.505,1.245,0.574,0.000,0.000
Csn1s2b,0,6.08194739995777,0.00081191107465204,3.56247274831918,0.00000275332797401785,88,62,311,465,90958,90464,3,5,21,24,1427,1216,4.315,2.856,13.983,21.148,3678.961,3668.854,0.129,0.230,0.871,1.059,66.282,60.753
Naaa,0,2.55130348074538,0.00081191107465204,3.2902684529362,0.00000289765533099996,179,192,116,83,310,416,196,162,134,139,773,599,8.778,8.845,5.215,3.775,12.539,16.871,8.438,7.439,5.560,6.133,35.905,29.927
Mrgprf,0,5.15720619702889,0.00081191107465204,-0.937310784596108,0.00000281623383231189,1,6,1,1,0,2,21,21,24,30,786,867,0.049,0.276,0.045,0.045,0.000,0.081,0.904,0.964,0.996,1.324,36.508,43.317
Slc7a5,0,-1.0688419229786,0.00081191107465204,7.81649786857357,0.00000269104792106702,2256,2333,7126,5788,5984,6370,7736,6377,7982,7947,3361,3105,110.631,107.471,320.391,263.232,242.034,258.341,333.051,292.820,331.193,350.623,156.113,155.131
Gpr3,0,-1.15591437913117,0.000856700168742534,4.87076494156266,0.00000318358721965473,421,430,249,228,72,68,2984,3393,3182,2835,1193,1103,20.645,19.808,11.195,10.369,2.912,2.758,128.468,155.800,132.029,125.081,55.413,55.108
Doxl1,0,-1.64155995518436,0.000856700168742534,-4.02610972077581,0.00000310726987342575,0,0,0,0,0,0,6,6,5,5,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.276,0.207,0.221,0.046,0.050
Tnni2,0,5.83812045300914,0.000947415468654395,0.301594293569915,0.0000036601281948825,27,28,6,4,3,4,18,6,26,52,2211,1445,1.324,1.290,0.270,0.182,0.121,0.162,0.775,0.276,1.079,2.294,102.697,72.194
Adm,0,-1.36032219684191,0.0010106789210951,4.14768060131538,0.00000394171844571473,457,462,180,231,55,62,933,755,1629,1547,540,512,22.411,21.282,8.093,10.506,2.225,2.514,40.168,34.668,67.591,68.254,25.082,25.580
Snord53,0,-2.54487188932908,0.00104921955117726,0.196281923486471,0.00000432365391411949,38,33,37,40,5,4,44,54,81,69,11,10,1.863,1.520,1.664,1.819,0.202,0.162,1.894,2.480,3.361,3.044,0.511,0.500
Rpsa,0,-1.08695275652284,0.00104921955117726,8.80594305263668,0.00000421857729052158,17518,19282,16136,13511,6568,6005,13681,13589,11778,9180,4426,3926,859.058,888.238,725.487,614.465,265.655,243.538,588.997,623.981,488.698,405.023,205.580,196.149
Ssbp2,0,1.06643861950326,0.00106889167794123,4.26575746765933,0.00000448337507948417,179,223,207,186,100,85,1052,894,970,1037,1858,1716,8.778,10.273,9.307,8.459,4.045,3.447,45.291,41.051,40.248,45.753,86.301,85.734
Gjb3,0,-3.58574686963132,0.00106889167794123,3.52480321458676,0.00000445161493337053,493,518,158,143,0,6,2610,3235,3256,3166,276,186,24.176,23.862,7.104,6.503,0.000,0.243,112.366,148.545,135.099,139.684,12.820,9.293
Oas1b,0,1.82490944150325,0.00112609631641461,1.41030103102564,0.00000491924545115729,39,68,4,7,16,15,185,154,154,115,412,396,1.913,3.132,0.180,0.318,0.647,0.608,7.965,7.071,6.390,5.074,19.137,19.785
Bhlhe41,0,-1.77346840870658,0.00112609631641461,6.18320764790346,0.00000489982608695477,5184,5638,693,789,166,173,3789,3438,5241,5769,1590,1175,254.216,259.718,31.158,35.883,6.714,7.016,163.125,157.867,217.462,254.529,73.853,58.705
Krtap16-1,0,-3.62448424443712,0.00123162907290384,-3.67625718988727,0.00000580037975391634,0,0,0,0,0,0,6,7,17,27,1,1,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.321,0.705,1.191,0.046,0.050
Sox4,0,-1.5088485362749,0.00123162907290384,7.46885105280166,0.00000556495388428144,5262,5501,7342,6177,887,700,6737,7826,8018,7787,2396,2330,258.041,253.407,330.102,280.923,35.876,28.389,290.042,359.355,332.687,343.564,111.290,116.410
Dok1,0,-1.03562154934647,0.00123162907290384,4.06079146812992,0.00000574952787322472,292,276,369,294,218,204,518,430,854,815,369,324,14.319,12.714,16.591,13.371,8.817,8.273,22.301,19.745,35.435,35.958,17.139,16.188
Cyp2s1,0,2.08327814808317,0.00123162907290384,1.40656845929124,0.00000560829327423676,12,26,5,10,5,4,482,453,180,208,645,752,0.588,1.198,0.225,0.455,0.202,0.162,20.751,20.801,7.469,9.177,29.959,37.571
Srfbp1,0,-1.04180015080099,0.0012504133029479,3.55051549032973,0.0000060268642218689,381,352,246,227,102,104,437,401,473,440,208,170,18.684,16.215,11.060,10.324,4.126,4.218,18.814,18.413,19.626,19.413,9.661,8.493
Ncs1,0,-2.17816521841219,0.0012504133029479,2.94637794846763,0.00000597098543170981,311,409,143,158,7,10,447,529,776,775,162,130,15.251,18.841,6.429,7.186,0.283,0.406,19.244,24.291,32.198,34.193,7.525,6.495
Barx2,0,2.00463380277576,0.0012991539473817,3.81590268446988,0.00000635738897684853,942,940,1387,1411,277,265,104,121,104,67,285,292,46.194,43.302,62.361,64.171,11.204,10.747,4.477,5.556,4.315,2.956,13.238,14.589
Emp2,0,1.13547724952776,0.0013183606346353,5.88280429871033,0.00000659689636522318,1917,1828,353,301,67,85,5006,3847,3718,3734,6974,6958,94.007,84.208,15.871,13.689,2.710,3.447,215.519,176.647,154.269,164.745,323.930,347.633
Coro1c,0,1.19277351897651,0.00132634910030212,4.5849842954615,0.00000672206779912376,756,868,326,327,60,47,921,705,1020,1054,2139,1899,37.073,39.985,14.657,14.872,2.427,1.906,39.651,32.372,42.322,46.503,99.353,94.877
Grwd1,0,-1.98398895714952,0.00132634910030212,4.69768057480782,0.00000673447057808208,1030,962,722,575,190,203,1287,1200,1256,900,269,194,50.510,44.315,32.462,26.150,7.685,8.233,55.408,55.102,52.115,39.708,12.495,9.693
Epb41l4a,0,1.10070646503851,0.00132843288559375,4.74466328889539,0.00000684280525343557,1270,1376,923,964,190,197,1058,903,330,326,642,557,62.279,63.386,41.499,43.842,7.685,7.990,45.549,41.464,13.693,14.383,29.820,27.829
Dmpk,0,1.81184299319055,0.00134691425361503,5.29642551483288,0.00000708667494267447,635,1039,211,228,190,156,511,572,3057,3028,9595,8611,31.139,47.862,9.487,10.369,7.685,6.327,22.000,26.265,126.842,133.596,445.671,430.219
Nfatc2,0,2.02822306306475,0.0013701302219623,5.79451963884017,0.00000725923514340378,1544,1645,395,385,47,56,2297,2448,3223,4289,14652,11334,75.716,75.778,17.760,17.509,1.901,2.271,98.891,112.408,133.730,189.231,680.560,566.264
Gpsm2,0,2.18495420481809,0.0013714257784767,4.99045742664291,0.00000741747633967675,159,220,232,131,368,350,2072,1435,1195,1377,4638,5302,7.797,10.134,10.431,5.958,14.884,14.195,89.204,65.893,49.583,60.753,215.427,264.896
Ccdc86,0,-1.39716064811638,0.00137972191850758,4.76044434903956,0.00000756387526611096,835,809,806,737,264,345,1079,995,990,780,303,266,40.947,37.267,36.238,33.518,10.678,13.992,46.453,45.689,41.078,34.414,14.074,13.290
Mafb,0,-1.01120806980051,0.00137972191850758,5.00239009100947,0.00000754263245046388,568,722,684,608,202,253,1434,1331,1705,1456,669,662,27.854,33.259,30.753,27.651,8.170,10.261,61.737,61.117,70.745,64.239,31.074,33.075
1700029F12Rik,0,-3.08306029546584,0.00139805241082775,-3.9753745570333,0.00000780178528776943,2,4,0,0,0,0,3,4,5,4,0,0,0.098,0.184,0.000,0.000,0.000,0.000,0.129,0.184,0.207,0.176,0.000,0.000
Lad1,0,-2.0857192202775,0.0014637485661267,4.17732971773317,0.00000850494677371961,2607,3152,643,691,235,248,456,446,329,319,74,56,127.844,145.199,28.910,31.426,9.505,10.058,19.632,20.479,13.651,14.074,3.437,2.798
Zfp248,0,1.36119790434231,0.0014637485661267,2.12638647130341,0.00000861320812810274,89,102,45,53,17,21,161,154,184,148,408,321,4.364,4.699,2.023,2.410,0.688,0.852,6.931,7.071,7.635,6.530,18.951,16.038
Bbc3,0,-2.52562758780276,0.0014637485661267,4.02893116228158,0.00000877850606271949,442,498,480,407,100,82,723,887,1056,998,120,192,21.675,22.941,21.581,18.510,4.045,3.326,31.127,40.729,43.816,44.032,5.574,9.593
Msmo1,0,2.03838543474489,0.0014637485661267,4.59082361988103,0.0000087013716051867,488,609,344,250,971,878,356,395,404,311,1458,1060,23.931,28.054,15.467,11.370,39.274,35.608,15.327,18.138,16.763,13.721,67.722,52.959
Tstd3,0,1.1518328676318,0.00146408264949488,0.20497777063118,0.00000883437781070534,19,15,7,6,25,20,15,12,64,62,125,114,0.932,0.691,0.315,0.273,1.011,0.811,0.646,0.551,2.656,2.735,5.806,5.696
Nr1d1,0,-2.26876290142004,0.00147703991625741,6.26040032073051,0.00000896690776638113,2389,2195,2071,1841,1264,949,1505,1461,5634,3511,849,728,117.153,101.114,93.114,83.727,51.125,38.488,64.793,67.086,233.769,154.906,39.435,36.372
Snhg17,0,-1.53071944288306,0.00148681641183031,4.56912004723509,0.00000913566874335558,1273,1125,692,592,209,225,838,869,821,650,229,202,62.426,51.824,31.113,26.923,8.453,9.125,36.078,39.903,34.065,28.678,10.637,10.092
Ubtd2,0,-1.26240842368499,0.00148997477629964,5.23716330564022,0.00000934801681871541,1386,1445,1238,1266,322,385,998,1093,1378,1128,447,438,67.967,66.565,55.661,57.576,13.024,15.614,42.966,50.189,57.177,49.768,20.762,21.883
Kctd6,0,-1.29971558131236,0.00148997477629964,3.40006978596572,0.00000935812750005426,196,192,282,240,210,199,230,265,458,426,169,137,9.612,8.845,12.679,10.915,8.494,8.071,9.902,12.168,19.004,18.795,7.850,6.845
Gm12680,0,2.09497926410471,0.00148997477629964,-2.8937123260307,0.00000942917920171965,0,0,0,0,0,0,3,3,18,25,89,68,0.000,0.000,0.000,0.000,0.000,0.000,0.129,0.138,0.747,1.103,4.134,3.397
Cit,0,-2.58254556820357,0.00148997477629964,0.851071124075367,0.00000923009519426755,148,155,51,44,6,12,122,110,71,55,8,9,7.258,7.140,2.293,2.001,0.243,0.487,5.252,5.051,2.946,2.427,0.372,0.450
Rab11fip1,0,-1.32935113828288,0.00148997477629964,5.53378834098687,0.00000942440371295774,5492,5609,4319,4134,1029,901,660,567,559,471,160,189,269.320,258.382,194.186,188.010,41.620,36.541,28.414,26.036,23.194,20.781,7.432,9.443
Csf1,0,-2.82219080318338,0.00150475390104564,7.47711364906416,0.0000096334367998065,2668,2258,7862,10604,486,467,7414,10574,19712,17860,2540,2006,130.835,104.016,353.482,482.258,19.657,18.940,319.189,485.538,817.899,787.986,117.979,100.223
Vegfa,0,-1.77966628136639,0.00153831731521775,8.41143552445492,0.0000099287004524241,6271,7546,6225,6761,4456,4855,12380,14927,17336,16104,4752,3608,307.521,347.611,279.881,307.483,180.231,196.899,532.986,685.420,719.313,710.511,220.722,180.261
Adrb2,0,-1.56760658488225,0.00153831731521775,5.5796436942389,0.0000099615087927563,469,635,1223,1033,1483,1355,1342,1574,2232,1845,574,592,22.999,29.252,54.987,46.980,59.983,54.953,57.776,72.275,92.611,81.402,26.661,29.577
