EntrezGeneID,Length,SYMBOL,GENENAME,MCL1-DG,MCL1-DH,MCL1-DI,MCL1-DJ,MCL1-DK,MCL1-DL,MCL1-LA,MCL1-LB,MCL1-LC,MCL1-LD,MCL1-LE,MCL1-LF
240725,4864,Sulf1,sulfatase 1,884,965,331,535,437,372,42,63,10,11,18,17
240726,8512,Slco5a1,"solute carrier organic anion transporter family, member 5A1",38,15,23,9,10,5,13,7,18,8,1,0
383491,2593,Prdm14,PR domain containing 14,8,11,13,12,18,15,5,9,5,3,0,0
17978,8213,Ncoa2,nuclear receptor coactivator 2,2356,2516,3180,2743,3210,3146,2359,2541,1445,1268,719,740
72265,2888,Tram1,translocating chain-associating membrane protein 1,1477,1481,1409,1290,1026,945,2333,2717,3945,3090,4555,4628
212442,1889,Lactb2,"lactamase, beta 2",141,119,135,122,180,177,293,332,201,182,344,377
381246,1926,Xkr9,X-linked Kx blood group related 9,0,0,0,0,0,0,0,0,0,0,4,4
433273,1245,Gm5523,glyceraldehyde-3-phosphate dehydrogenase pseudogene,0,2,2,0,0,2,1,4,1,0,3,4
14048,4345,Eya1,EYA transcriptional coactivator and phosphatase 1,280,388,412,366,497,619,1,2,1,1,0,1
17681,1717,Msc,musculin,5,2,3,2,2,1,55,44,36,16,1,2
277328,4263,Trpa1,"transient receptor potential cation channel, subfamily A, member 1",0,0,0,0,0,0,0,0,0,0,0,0
98741,5309,Kcnb2,"potassium voltage gated channel, Shab-related subfamily, member 2",4,0,0,1,0,1,1,0,0,0,0,0
21749,1633,Terf1,telomeric repeat binding factor 1,270,235,181,146,169,221,214,220,150,137,154,121
226866,2748,Sbspon,"somatomedin B and thrombospondin, type 1 domain containing",733,924,382,393,245,244,10,13,3,19,0,1
665434,572,Gm7634,predicted gene 7634,1,1,2,0,0,0,1,1,0,0,0,0
75799,717,4930444P10Rik,RIKEN cDNA 4930444P10 gene,3,0,1,1,2,1,1,0,0,0,0,0
19989,934,Rpl7,ribosomal protein L7,13915,16804,14309,12427,9690,8652,15065,14918,12087,10919,3834,3766
98711,2295,Rdh10,retinol dehydrogenase 10 (all-trans),2322,1860,1809,1253,1278,1388,541,760,620,609,114,108
29819,2890,Stau2,staufen double-stranded RNA binding protein 2,395,419,533,464,439,362,422,489,469,357,191,222
66799,2354,Ube2w,ubiquitin-conjugating enzyme E2W (putative),750,719,712,650,842,717,411,404,345,335,208,226
67923,955,Eloc,elongin C,3119,2920,2716,2221,2115,1980,1347,1240,923,805,549,523
329101,2788,D030040B21Rik,RIKEN cDNA D030040B21 gene,1,1,2,4,0,1,0,0,1,0,0,0
70397,1732,Tmem70,transmembrane protein 70,485,428,605,522,503,467,438,385,417,375,448,506
17087,603,Ly96,lymphocyte antigen 96,33,21,54,38,52,31,75,89,167,144,106,88
57339,4809,Jph1,junctophilin 1,199,162,214,183,136,109,83,49,55,45,42,43
14545,3938,Gdap1,ganglioside-induced differentiation-associated-protein 1,2,2,22,18,14,10,2,2,1,1,0,1
94227,6923,Pi15,peptidase inhibitor 15,122,234,170,273,112,76,11,10,4,1,2,2
83691,4006,Crispld1,cysteine-rich secretory protein LCCL domain containing 1,419,768,315,298,257,261,9,10,5,3,1,7
78081,1192,Crisp4,cysteine-rich secretory protein 4,0,0,0,0,0,0,0,0,0,0,0,0
654454,222,Defb44-ps,"defensin beta 44, pseudogene",0,0,0,0,0,0,0,1,0,0,0,0
654460,258,Defb18,defensin beta 18,0,0,0,0,0,0,0,0,0,0,0,0
77673,469,Defb41,defensin beta 41,0,0,0,0,0,0,0,0,0,0,0,0
654464,256,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
226896,1753,Tfap2d,"transcription factor AP-2, delta",0,0,0,0,0,0,0,0,0,0,0,0
21419,6391,Tfap2b,transcription factor AP-2 beta,1715,1540,1545,1787,2114,2638,1918,1692,200,61,99,85
241035,12928,Pkhd1,polycystic kidney and hepatic disease 1,0,0,0,0,0,1,14,22,3,0,0,0
75028,786,4930486I03Rik,RIKEN cDNA 4930486I03 gene,0,0,0,0,0,0,0,0,0,0,0,0
387202,73,Mir206,microRNA 206,0,0,0,0,0,0,0,0,0,0,0,0
723817,119,Mir133b,microRNA 133b,0,0,0,0,0,0,0,0,0,0,0,0
16171,1171,Il17a,interleukin 17A,0,0,0,0,0,0,0,0,0,0,0,0
257630,1178,Il17f,interleukin 17F,2,0,1,0,0,0,0,0,0,0,0,2
17215,2886,Mcm3,minichromosome maintenance complex component 3,1394,1176,733,504,143,116,1737,1458,1102,354,552,591
77741,1120,6720483E21Rik,RIKEN cDNA 6720483E21 gene,0,4,1,1,0,0,1,2,0,0,0,0
74229,4420,Paqr8,progestin and adipoQ receptor family member VIII,154,164,101,84,77,70,32,37,3,6,1,1
71877,2208,Efhc1,EF-hand domain (C-terminal) containing 1,88,77,38,62,75,77,33,37,4,11,5,5
170829,1409,Tram2,translocating chain-associating membrane protein 2,145,109,65,76,92,90,117,99,55,61,51,54
75712,1112,Tmem14a,transmembrane protein 14A,52,78,77,109,90,98,43,50,4,12,4,3
14859,1450,Gsta3,"glutathione S-transferase, alpha 3",4,2,3,4,8,5,6,8,32,89,38,35
241041,1148,Gm4956,predicted gene 4956,0,0,0,0,0,0,0,0,0,0,0,0
368204,1950,Khdc1a,KH domain containing 1A,0,0,2,0,3,1,0,1,0,0,0,0
433278,844,Khdc1c,KH domain containing 1C,1,0,0,0,2,3,0,0,0,0,0,0
98582,2247,Khdc1b,KH domain containing 1B,1,1,1,2,2,4,0,0,0,0,0,0
226922,6980,Kcnq5,"potassium voltage-gated channel, subfamily Q, member 5",1080,1113,881,947,1662,2240,1,4,2,2,1,3
116837,4066,Rims1,regulating synaptic membrane exocytosis 1,2,10,4,0,5,3,0,0,0,0,0,0
66755,1781,Ppp1r14bl,"protein phosphatase 1, regulatory inhibitor subunit 14B like",0,0,0,0,0,0,0,1,0,0,0,0
387225,71,Mir30a,microRNA 30a,0,0,0,0,0,0,0,0,0,0,0,0
723964,84,Mir30c-2,microRNA 30c-2,0,0,0,0,0,0,0,0,0,0,1,0
70155,4844,Ogfrl1,opioid growth factor receptor-like 1,372,332,619,396,401,401,3240,2982,7155,5882,2986,2709
100503399,1522,Gm19673,"predicted gene, 19673",0,0,3,0,0,0,3,2,10,6,10,5
280645,4362,B3gat2,"beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)",56,70,95,77,56,66,49,60,69,84,37,47
98366,2259,Smap1,small ArfGAP 1,739,808,850,814,774,736,473,562,599,535,453,439
68002,667,Sdhaf4,succinate dehydrogenase complex assembly factor 4,99,73,95,134,89,123,182,148,102,101,112,105
68187,6467,Fam135a,"family with sequence similarity 135, member A",940,840,637,550,836,906,547,575,519,505,310,347
12839,3888,Col9a1,"collagen, type IX, alpha 1",245,725,1818,1461,197,181,825,1603,3121,3790,4874,5597
12823,10542,Col19a1,"collagen, type XIX, alpha 1",7,6,3,5,0,0,1,3,1,3,4,1
68421,5392,Lmbrd1,LMBR1 domain containing 1,1230,1176,1241,1444,1501,1512,1232,1413,1139,1323,587,513
210933,5522,Adgrb3,adhesion G protein-coupled receptor B3,1,0,0,0,0,0,0,0,0,0,0,0
100504323,1551,Gm20172,"predicted gene, 20172",0,0,0,0,0,0,0,0,0,0,0,0
210940,4331,4931408C20Rik,RIKEN cDNA 4931408C20 gene,0,0,0,0,0,0,0,0,0,0,0,0
433281,2004,Gm5524,predicted gene 5524,0,0,0,0,0,0,0,0,0,0,0,0
665903,467,Gm7846,predicted gene 7846,174,193,168,144,121,97,212,219,208,132,72,84
210962,2882,Gm597,predicted gene 597,0,0,0,0,0,0,0,0,0,0,0,0
623924,306,Gm6462,predicted gene 6462,0,0,0,0,0,0,0,0,0,0,0,0
791350,1160,Gm9898,predicted gene 9898,0,0,0,0,0,0,0,0,0,0,0,0
213109,7561,Phf3,PHD finger protein 3,2798,2504,1902,1740,2231,2194,2611,2740,1825,1709,802,776
19243,4129,Ptp4a1,protein tyrosine phosphatase 4a1,2493,2611,2068,1697,1719,1392,2009,1986,1268,1150,681,599
70988,1094,4931428L18Rik,RIKEN cDNA 4931428L18 gene,0,0,0,0,0,0,0,0,0,0,0,0
266744,1903,Lgsn,"lengsin, lens protein with glutamine synthetase domain",0,0,0,0,0,0,0,0,0,0,0,0
74708,1449,Dnaaf6,dynein axonemal assembly factor 6,0,0,0,0,0,0,0,0,0,0,0,0
226957,914,Gm4850,THO complex 4 pseudogene,0,0,0,0,2,0,0,0,2,1,0,0
624262,762,Gm6489,Aly/REF export factor pseudogene,7,2,3,2,2,1,5,5,5,1,1,1
170771,1359,Khdrbs2,"KH domain containing, RNA binding, signal transduction associated 2",0,4,3,0,0,1,0,0,0,0,0,0
408192,1437,Gm9839,predicted gene 9839,0,0,0,0,0,0,0,0,0,0,0,1
408191,3748,Semp2l1,SUMO/sentrin specific peptidase 2-like 1,0,0,0,0,0,0,0,0,0,0,0,0
19076,1937,Prim2,"DNA primase, p58 subunit",425,388,339,275,177,176,537,496,370,239,195,166
67503,889,1700001G17Rik,RIKEN cDNA 1700001G17 gene,9,9,4,11,4,5,2,3,9,3,1,2
19335,4487,Rab23,"RAB23, member RAS oncogene family",319,271,245,244,342,354,193,212,48,46,43,46
213539,1815,Bag2,BCL2-associated athanogene 2,804,1071,2241,1917,1276,1036,534,577,708,600,222,232
98403,3650,Zfp451,zinc finger protein 451,543,489,618,548,396,460,492,567,350,295,134,168
433287,3016,Gm15455,predicted gene 15455,222,214,186,160,124,116,183,208,161,114,68,92
320705,2292,Bend6,BEN domain containing 6,2,3,1,1,3,0,8,5,3,13,5,8
13518,23242,Dst,dystonin,31072,36904,16894,27489,56478,44370,7210,6921,4323,5308,3578,3500
100628580,79,Mir5103,microRNA 5103,1,0,0,0,0,1,0,1,2,0,1,1
69668,1705,Ccdc115,coiled-coil domain containing 115,250,216,241,136,90,96,244,289,224,169,115,152
27993,2249,Imp4,"IMP4, U3 small nucleolar ribonucleoprotein",782,689,633,472,321,354,969,902,958,762,430,465
52318,3559,D1Ertd448e,"DNA segment, Chr 1, ERATO Doi 448, expressed",281,241,213,148,94,100,373,349,184,152,80,86
19253,1578,Ptpn18,"protein tyrosine phosphatase, non-receptor type 18",47,53,64,47,15,14,1099,1345,1223,1359,985,1184
21755,1246,Prss39,"protease, serine 39",0,0,0,0,0,0,0,1,2,2,2,0
12627,1038,Cfc1,"cripto, FRL-1, cryptic family 1",0,0,0,0,0,0,0,0,0,0,0,0
21756,1301,Prss40,"protease, serine 40",1,1,2,2,2,2,0,0,0,0,0,0
211383,4356,Amer3,APC membrane recruitment 3,0,0,0,0,0,0,0,0,0,0,0,0
241051,2676,AA619741,PHD finger protein 19 pseudogene,0,0,0,0,1,0,0,0,0,0,0,0
226970,2714,Arhgef4,Rho guanine nucleotide exchange factor (GEF) 4,181,228,251,169,138,152,70,65,42,43,10,4
214469,5080,Fam168b,"family with sequence similarity 168, member B",6028,5643,6557,5811,5162,4708,4211,4752,4091,3482,1764,1717
226971,5469,Plekhb2,"pleckstrin homology domain containing, family B (evectins) member 2",488,557,398,361,314,268,1395,1428,329,377,262,247
50785,3719,Hs6st1,heparan sulfate 6-O-sulfotransferase 1,4283,3843,3703,3682,2181,1817,3587,3776,5203,4797,2101,2097
320011,9029,Uggt1,UDP-glucose glycoprotein glucosyltransferase 1,2932,2375,2220,2113,1951,2043,2730,2692,3120,2388,2553,2691
214854,2583,Neurl3,neuralized E3 ubiquitin protein ligase 3,204,294,63,29,44,26,67,79,7,6,14,15
214855,5699,Arid5a,AT rich interactive domain 5A (MRF1-like),19388,14215,6976,6965,10862,10687,3911,3897,1590,1328,1643,1777
226976,4663,Kansl3,KAT8 regulatory NSL complex subunit 3,2331,2293,2202,2021,1987,1817,2254,2375,1815,1660,825,855
214895,2225,Lman2l,"lectin, mannose-binding 2-like",367,287,297,246,273,254,696,778,356,302,406,382
94220,4582,Cnnm4,cyclin M4,1581,1359,998,698,658,617,685,740,346,212,284,322
94218,5283,Cnnm3,cyclin M3,396,268,117,121,101,173,519,454,318,240,319,349
78321,1954,Ankrd23,ankyrin repeat domain 23,128,105,92,105,110,119,139,203,103,95,105,125
109346,1786,Ankrd39,ankyrin repeat domain 39,96,101,133,112,98,115,140,163,106,86,97,124
20353,3805,Sema4c,"sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4C",7026,5219,5233,4421,2553,2422,6550,6010,2300,2049,978,792
381337,2577,Fam178b,"family with sequence similarity 178, member B",14,6,17,16,18,13,35,44,91,42,4,2
12859,569,Cox5b,cytochrome c oxidase subunit 5B,646,583,787,780,476,464,857,833,908,717,596,619
226977,2077,Actr1b,"ARP1 actin-related protein 1B, centractin beta",2703,2537,2563,2524,2471,2248,1965,2234,2116,1835,1304,1306
71166,1127,4933424G06Rik,RIKEN cDNA 4933424G06 gene,8,9,12,9,5,3,3,2,1,1,1,1
22637,2180,Zap70,zeta-chain (TCR) associated protein kinase,1,19,13,10,2,4,1,4,0,0,1,0
56030,6548,Tmem131,transmembrane protein 131,2896,2643,2665,2640,2830,2695,1910,2204,2038,1728,954,947
70853,4422,Vwa3b,von Willebrand factor A domain containing 3B,14,7,2,7,6,7,2,1,2,0,0,0
12790,3498,Cnga3,cyclic nucleotide gated channel alpha 3,4,16,3,3,6,3,0,3,0,0,0,0
269180,6817,Inpp4a,"inositol polyphosphate-4-phosphatase, type I",699,572,627,538,868,823,333,384,322,336,128,131
76178,3862,Coa5,cytochrome C oxidase assembly factor 5,808,737,844,803,801,768,1507,1654,1962,1589,1059,1225
67387,1412,Unc50,unc-50 homolog,529,511,464,424,400,439,558,666,575,506,375,344
269181,7054,Mgat4a,"mannoside acetylglucosaminyltransferase 4, isoenzyme A",1008,982,810,708,848,787,1683,1737,1672,1520,1062,1048
77633,2755,4930594C11Rik,G1 to S phase transition pseudogene,111,134,172,103,92,72,141,120,128,121,107,95
100861893,736,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
72097,4361,Cracdl,capping protein inhibiting regulator of actin like,22,14,46,32,16,12,856,1015,948,819,582,599
100503734,2218,Gm19863,"predicted gene, 19863",0,0,0,0,0,0,0,0,0,2,2,3
211484,3400,Tsga10,testis specific 10,27,36,36,36,41,43,47,57,33,46,18,17
623661,1555,Lipt1,lipoyltransferase 1,26,26,39,23,49,29,48,43,55,71,21,21
69028,1229,Mitd1,"MIT, microtubule interacting and transport, domain containing 1",171,208,236,197,312,240,139,153,112,85,116,115
107734,691,Mrpl30,mitochondrial ribosomal protein L30,480,431,494,534,454,384,535,584,403,365,221,228
332427,2564,Lyg2,lysozyme G-like 2,0,0,0,0,0,0,0,0,0,0,0,0
69541,798,Lyg1,lysozyme G-like 1,0,0,0,0,0,0,0,1,3,10,2,1
98258,4596,Txndc9,thioredoxin domain containing 9,870,755,836,760,804,759,1207,1475,1311,1298,440,400
226982,7797,Eif5b,eukaryotic translation initiation factor 5B,4112,3876,4855,4156,3336,2740,4480,4686,5629,6043,2501,2550
56210,4262,Rev1,"REV1, DNA directed polymerase",518,530,693,574,420,404,527,523,607,541,354,351
16764,6010,Aff3,"AF4/FMR2 family, member 3",363,327,325,278,231,226,5,5,0,1,0,0
381338,5077,Lonrf2,LON peptidase N-terminal domain and ring finger 2,0,5,0,1,0,1,1,0,1,1,0,0
98388,3120,Chst10,carbohydrate sulfotransferase 10,24,9,48,29,32,55,13,19,24,14,1,1
100503760,2386,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0
433292,1001,Nms,neuromedin S,0,0,0,0,0,0,0,0,0,0,0,0
68833,1706,Pdcl3,phosducin-like 3,1282,1119,1698,1844,2032,1833,981,1202,720,629,230,316
18143,4180,Npas2,neuronal PAS domain protein 2,24,25,14,29,12,12,179,310,256,315,462,380
114641,1254,Rpl31,ribosomal protein L31,1655,1862,1804,1569,987,889,2350,2596,1863,1601,669,673
54610,4440,Tbc1d8,"TBC1 domain family, member 8",482,470,306,248,246,288,942,1310,2334,2274,4091,4547
52846,3170,Cnot11,"CCR4-NOT transcription complex, subunit 11",948,806,602,530,405,474,489,509,419,311,158,168
100217461,94,Snord89,"small nucleolar RNA, C/D box 89",21,17,14,13,3,4,10,3,4,8,0,0
67702,2434,Rnf149,ring finger protein 149,2943,3143,2005,1673,815,742,1698,1855,2553,2371,1947,1942
263764,5799,Creg2,cellular repressor of E1A-stimulated genes 2,26,16,19,20,0,1,0,1,6,4,0,0
619289,2000,Rfx8,regulatory factor X 8,1,2,1,2,2,0,0,2,1,2,1,0
100042065,359,Gm3646,predicted gene 3646,0,2,0,0,0,0,0,0,0,0,0,0
73426,531,1700066B17Rik,RIKEN cDNA 1700066B17 gene,0,0,0,0,0,0,0,0,1,0,0,0
26921,5974,Map4k4,mitogen-activated protein kinase kinase kinase kinase 4,6042,5787,6242,5804,6128,5980,4341,4710,4492,4869,985,923
100047133,858,Gm16894,"predicted gene, 16894",1,0,9,7,7,9,0,0,0,1,0,0
16178,1343,Il1r2,"interleukin 1 receptor, type II",12,12,42,90,110,89,5,4,0,1,8,3
16177,5035,Il1r1,"interleukin 1 receptor, type I",394,462,369,409,266,255,640,700,133,193,120,112
107527,1950,Il1rl2,interleukin 1 receptor-like 2,108,211,62,67,37,34,85,104,48,62,162,163
17082,6967,Il1rl1,interleukin 1 receptor-like 1,13,23,93,25,9,5,4,2,7,2,2,1
16182,4781,Il18r1,interleukin 18 receptor 1,92,51,40,28,4,5,639,534,348,761,453,629
16174,2487,Il18rap,interleukin 18 receptor accessory protein,6,2,7,1,2,2,26,51,36,54,104,132
110895,3822,Slc9a4,"solute carrier family 9 (sodium/hydrogen exchanger), member 4",0,3,15,16,24,21,16,13,337,750,3110,3596
226999,3493,Slc9a2,"solute carrier family 9 (sodium/hydrogen exchanger), member 2",19,10,8,3,6,6,34,48,51,79,409,425
211798,3152,Mfsd9,major facilitator superfamily domain containing 9,35,21,18,16,6,13,86,47,66,80,73,85
381339,1096,Tmem182,transmembrane protein 182,3,7,25,26,24,31,2,1,1,3,2,3
74897,573,4930448I06Rik,RIKEN cDNA 4930448I06 gene,0,0,0,0,0,0,0,0,0,0,0,0
66297,546,Pantr1,"POU domain, class 3, transcription factor 3 adjacent noncoding transcript 1",0,0,0,0,0,0,0,0,0,0,0,0
18993,3065,Pou3f3,"POU domain, class 3, transcription factor 3",0,1,0,0,0,0,0,1,1,0,0,0
73100,2841,2900092D14Rik,RIKEN cDNA 2900092D14 gene,0,0,1,0,0,0,0,0,0,0,0,0
69527,1419,Mrps9,mitochondrial ribosomal protein S9,507,408,437,436,370,305,620,664,404,351,174,149
93690,3860,Gpr45,G protein-coupled receptor 45,0,0,1,1,1,0,1,0,0,0,0,0
73122,5538,Tgfbrap1,"transforming growth factor, beta receptor associated protein 1",679,526,581,473,629,678,680,692,760,669,499,545
98404,3457,AI597479,expressed sequence AI597479,402,280,357,362,433,554,278,271,206,187,149,150
14200,1563,Fhl2,four and a half LIM domains 2,908,1068,1803,1700,1208,1134,341,467,174,208,14,21
666642,647,Gm8210,60S ribosomal protein L29,750,862,815,726,491,423,1041,1091,836,828,345,376
17974,2775,Nck2,non-catalytic region of tyrosine kinase adaptor protein 2,1592,1614,2049,1946,1754,1763,3498,4109,558,658,365,352
100861934,1421,NA,NA,2,2,1,6,2,2,3,11,12,19,1,3
78896,888,Ecrg4,ECRG4 augurin precursor,3414,4153,11991,9261,1445,1155,42,35,23,12,0,2
67883,1263,Uxs1,UDP-glucuronate decarboxylase 1,181,148,120,85,64,77,449,332,127,129,180,186
100503192,585,NA,NA,481,504,522,510,428,412,736,756,760,677,465,466
22019,4649,Tpp2,tripeptidyl peptidase II,2444,3036,3416,2632,1989,1522,2438,2773,3076,3017,1482,1331
433294,1086,Mettl21c,methyltransferase like 21C,0,0,1,0,2,0,1,0,1,2,3,0
75623,1265,Tex30,testis expressed 30,659,527,489,333,268,232,505,429,450,306,477,393
72050,2324,Poglut2,protein O-glucosyltransferase 2,1412,1178,1284,1188,875,828,525,463,354,290,214,177
246229,3571,Bivm,"basic, immunoglobulin-like variable motif containing",179,110,127,114,140,168,212,200,109,167,97,79
22592,4010,Ercc5,"excision repair cross-complementing rodent repair deficiency, complementation group 5",656,585,583,579,693,657,349,379,276,298,155,178
100861960,766,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
403183,3181,Mettl21e,methyltransferase like 21E,0,0,0,0,0,0,0,0,0,0,0,0
70676,2976,Gulp1,"GULP, engulfment adaptor PTB domain containing 1",624,888,717,944,897,865,127,239,185,341,524,616
75066,906,4930521E06Rik,RIKEN cDNA 4930521E06 gene,1,2,2,0,2,1,1,0,3,1,1,1
12825,5564,Col3a1,"collagen, type III, alpha 1",1349,1844,3202,3285,2083,1713,441,783,723,446,696,763
12832,6615,Col5a2,"collagen, type V, alpha 2",5409,4982,1597,2337,4816,4891,62,87,79,50,48,59
73674,2612,Wdr75,WD repeat domain 75,981,860,917,711,474,442,1002,879,585,441,257,293
433297,641,Gm5526,"myosin, light polypeptide 6, alkali, smooth muscle and non-muscle pseudogene",5159,4902,9502,10606,10675,8530,1883,2141,1363,1517,635,664
53945,3380,Slc40a1,"solute carrier family 40 (iron-regulated transporter), member 1",83,91,22,15,22,34,173,145,48,61,114,133
100042453,717,Gm3852,Blcap pseudogene,3,3,1,5,1,2,4,4,7,7,2,2
212225,3483,Stk-ps2,serine/threonine kinase 2,0,0,0,0,0,0,0,0,0,0,0,0
227058,12318,Dnah7b,"dynein, axonemal, heavy chain 7B",110,169,79,132,220,185,15,14,3,2,3,8
100101919,12384,Dnah7c,"dynein, axonemal, heavy chain 7C",10,9,8,4,14,6,2,2,0,0,1,0
227059,4961,Slc39a10,"solute carrier family 39 (zinc transporter), member 10",1936,2138,2181,1785,1952,1795,540,526,495,279,438,455
442837,542,C230029F24Rik,RIKEN cDNA C230029F24 gene,0,0,0,0,0,0,0,0,0,0,0,0
56363,3339,Tmeff2,transmembrane protein with EGF-like and two follistatin-like domains 2,44,38,9,17,11,12,2,4,1,0,0,1
442821,2552,9330175M20Rik,RIKEN cDNA 9330175M20 gene,0,1,0,2,2,1,0,0,0,0,0,0
20324,3055,Cavin2,caveolae associated 2,4060,4455,2493,2833,4721,5195,936,940,276,345,72,65
109019,2838,Nabp1,nucleic acid binding protein 1,3147,2577,2107,2327,4323,3718,3021,3927,2145,2581,1410,1433
100045066,3051,Gm17767,"predicted gene, 17767",0,3,3,1,3,7,1,6,15,24,29,26
17912,5042,Myo1b,myosin IB,1603,1908,2129,1670,1817,1767,1636,1750,635,534,155,169
20849,2981,Stat4,signal transducer and activator of transcription 4,3,3,19,30,25,23,31,27,1,0,2,2
100042634,432,Gm3940,ribosomal protein L23A pseudogene,0,2,0,2,1,0,1,0,3,5,0,0
20846,5356,Stat1,signal transducer and activator of transcription 1,532,626,1056,894,970,731,837,879,1049,657,783,726
14660,7488,Gls,glutaminase,11098,10148,10106,8413,7574,6460,4644,4909,1947,1925,677,718
17936,5088,Nab1,Ngfi-A binding protein 1,1947,2088,2836,2360,2980,2602,3106,4049,3715,3491,1275,1112
227094,3394,Nemp2,nuclear envelope integral membrane protein 2,120,109,92,69,78,115,149,171,42,21,23,15
